price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
200,0.1,4,1.5,2,2,Apartment,Entire home/apt,North End,91
200,0.14,2,1,1,1,House,Private room,Charlestown,91
225,0.03,2,1,1,1,Apartment,Entire home/apt,Downtown,91
35,0.03,1,1,1,1,House,Private room,Allston,91
50,0.29,2,1,1,1,House,Private room,Roslindale,28
75,0.17,1,1,1,1,House,Private room,Jamaica Plain,1
200,0.81,6,1,2,4,Apartment,Entire home/apt,Roslindale,2
34,0.12,1,2,1,1,Apartment,Private room,Roxbury,91
34,0.11,1,2,1,1,Apartment,Private room,Roxbury,91
68,0.45,2,1,1,1,Apartment,Private room,East Boston,91
185,4.34,3,1,1,1,Apartment,Entire home/apt,North End,2
33,0.19,1,1,1,1,Apartment,Private room,Hyde Park,91
250,0.78,4,1,2,2,Apartment,Entire home/apt,South End,2
110,2.21,2,1,1,1,House,Private room,Dorchester,1
100,3.26,2,1,1,1,House,Private room,Dorchester,1
145,0.11,4,1,2,2,Other,Entire home/apt,Jamaica Plain,91
135,0.26,3,1,1,1,Apartment,Entire home/apt,Fenway,91
56,1.91,3,1,0,1,House,Entire home/apt,Roxbury,91
130,4,4,1,1,4,Other,Entire home/apt,Jamaica Plain,2
60,0.41,7,2,3,3,Other,Entire home/apt,Dorchester,91
80,0.16,2,1,1,1,Other,Entire home/apt,Brighton,32
60,0.02,1,1,1,1,Apartment,Private room,West End,91
55,0.33,1,1,1,1,House,Private room,Mission Hill,91
285,3,5,1,3,4,House,Entire home/apt,Brighton,3
150,4.62,2,1,1,1,Apartment,Entire home/apt,South Boston,3
300,2.48,4,1,2,2,Apartment,Entire home/apt,South End,1
195,2.88,4,1,2,2,Apartment,Entire home/apt,South End,91
150,1.16,2,1,0,1,Apartment,Entire home/apt,Back Bay,1
