price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
119,5.43,2,1,1,1,Apartment,Entire home/apt,South End,1
115,0.43,2,1,0,1,Apartment,Entire home/apt,South End,4
52,0.2,2,1,1,1,Apartment,Entire home/apt,Brighton,91
40,0.55,1,2.5,1,1,Other,Private room,Roslindale,2
299,2.01,6,1,2,4,Apartment,Entire home/apt,North End,28
85,0.16,2,1,1,1,Apartment,Private room,Allston,91
280,1.13,4,1,1,2,Apartment,Entire home/apt,Back Bay,3
200,0.37,2,1,2,1,Other,Entire home/apt,Bay Village,2
160,0.07,3,1,1,1,Apartment,Entire home/apt,South End,91
175,2.42,3,1,0,1,Apartment,Entire home/apt,Downtown,10
150,1.41,4,1,1,2,Apartment,Entire home/apt,Beacon Hill,180
65,0.78,2,1,1,1,Apartment,Private room,Dorchester,4
139,1.72,2,1,1,1,Other,Private room,Charlestown,91
75,3.7,2,1.5,1,1,House,Private room,Jamaica Plain,1
65,1,2,1,1,1,Apartment,Private room,Dorchester,4
85,1.04,2,2,1,1,House,Private room,Roslindale,91
140,2.43,1,1,1,1,Other,Private room,South End,2
695,2.54,7,2,3,3,Apartment,Entire home/apt,Back Bay,2
249,1.3,8,1.5,4,4,House,Entire home/apt,Hyde Park,2
450,0.22,5,3.5,3,5,Other,Entire home/apt,Roxbury,28
